0001 1 0.228813559322	先知_电影
0001 2 0.228813559322	先知_游戏
0001 3 0.186440677966	先知_电子设备
0001 4 0.186440677966	先知_公司
0001 5 0.169491525424	先知_人物
0002 1 0.263636363636	波斯猫_动物
0002 2 0.227272727273	波斯猫_舞蹈
0002 3 0.172727272727	波斯猫_视频
0002 4 0.172727272727	波斯猫_游戏
0002 5 0.163636363636	波斯猫_音乐
0003 1 0.261261261261	猫头鹰_电影
0003 2 0.207207207207	猫头鹰_动物
0003 3 0.189189189189	猫头鹰_漫画
0003 4 0.171171171171	猫头鹰_视频
0003 5 0.171171171171	猫头鹰_游戏
0004 1 0.608695652174	adobe_软件
0004 2 0.391304347826	adobe_网站
0005 1 0.24347826087	传奇_歌曲
0005 2 0.234782608696	传奇_游戏
0005 3 0.226086956522	传奇_电影
0005 4 0.147826086957	传奇_电视节目
0005 5 0.147826086957	传奇_小说
0006 1 0.233333333333	小米_手机
0006 2 0.216666666667	小米_官网
0006 3 0.191666666667	小米_论坛
0006 4 0.183333333333	小米_公司
0006 5 0.175	小米_食物
0007 1 0.571428571429	中国水电_公司
0007 2 0.428571428571	中国水电_股票
0008 1 0.528301886792	云轩_小说
0008 2 0.471698113208	云轩_网站
0009 1 0.252252252252	遮天_游戏
0009 2 0.216216216216	遮天_小说
0009 3 0.189189189189	遮天_电影
0009 4 0.171171171171	遮天_官网
0009 5 0.171171171171	遮天_下载
0010 1 0.247787610619	舍得_歌词
0010 2 0.203539823009	舍得_歌曲
0010 3 0.194690265487	舍得_酒
0010 4 0.194690265487	舍得_网站
0010 5 0.159292035398	舍得_公司
0011 1 0.31914893617	秋菊_电影
0011 2 0.234042553191	秋菊_电视剧
0011 3 0.234042553191	秋菊_植物
0011 4 0.212765957447	秋菊_文学
0012 1 0.716216216216	三字经_内容
0012 2 0.283783783784	三字经_影音
0013 1 0.522222222222	三毛_作家
0013 2 0.477777777778	三毛_漫画人物
0014 1 0.4	阳光_汽车
0014 2 0.2	阳光_网站
0014 3 0.2	阳光_文学
0014 4 0.2	阳光_人物
0015 1 0.362068965517	嫦娥_文学作品
0015 2 0.327586206897	嫦娥_神话故事人物
0015 3 0.310344827586	嫦娥_航天飞行器
0016 1 0.25	程序员_招聘
0016 2 0.206896551724	程序员_职业
0016 3 0.198275862069	程序员_课程
0016 4 0.181034482759	程序员_网站
0016 5 0.163793103448	程序员_介绍
0017 1 0.247863247863	泰国_食品
0017 2 0.213675213675	泰国_特产
0017 3 0.188034188034	泰国_攻略
0017 4 0.188034188034	泰国_宝石
0017 5 0.162393162393	泰国_护肤品
0018 1 0.397058823529	科学美国人_图书
0018 2 0.323529411765	科学美国人_网站
0018 3 0.279411764706	科学美国人_影音
0019 1 0.555555555556	黄金_贵金属
0019 2 0.444444444444	黄金_影视
0020 1 0.218487394958	浴缸_家居
0020 2 0.218487394958	浴缸_品牌
0020 3 0.193277310924	浴缸_评价
0020 4 0.18487394958	浴缸_选购
0020 5 0.18487394958	浴缸_类型
0021 1 0.333333333333	婚戒_知识
0021 2 0.333333333333	婚戒_影视
0021 3 0.333333333333	婚戒_品牌
0022 1 0.266666666667	三星_网站
0022 2 0.266666666667	三星_手机
0022 3 0.233333333333	三星_相机
0022 4 0.233333333333	三星_电脑
0023 1 0.526315789474	饥饿游戏_影视
0023 2 0.473684210526	饥饿游戏_小说
0024 1 0.367647058824	心理测试_网站
0024 2 0.367647058824	心理测试_游戏
0024 3 0.264705882353	心理测试_图片
0025 1 0.241666666667	椰岛_官网
0025 2 0.208333333333	椰岛_造型
0025 3 0.191666666667	椰岛_商铺
0025 4 0.183333333333	椰岛_价格
0025 5 0.175	椰岛_评价
0026 1 0.238938053097	野葛根_植物
0026 2 0.212389380531	野葛根_功效
0026 3 0.194690265487	野葛根_产地
0026 4 0.185840707965	野葛根_品牌
0026 5 0.16814159292	野葛根_评价
0027 1 0.414285714286	秧歌_影音
0027 2 0.3	秧歌_知识
0027 3 0.285714285714	秧歌_小说
0028 1 0.531914893617	卫子夫_历史人物
0028 2 0.468085106383	卫子夫_电视剧
0029 1 0.254901960784	佛教_音乐经
0029 2 0.254901960784	佛教_音乐
0029 3 0.254901960784	佛教_网站
0029 4 0.235294117647	佛教_歌曲
0030 1 0.37037037037	浏览器_类别
0030 2 0.320987654321	浏览器_下载
0030 3 0.308641975309	浏览器_排行榜
0031 1 0.415384615385	相亲节目_名称
0031 2 0.292307692308	相亲节目_类别
0031 3 0.292307692308	相亲节目_信息
0032 1 0.315789473684	哈利波特_电影
0032 2 0.252631578947	哈利波特_系列
0032 3 0.231578947368	哈利波特_内容
0032 4 0.2	哈利波特_网站
0033 1 1.0	安卓_游戏下载
