,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
CNU-S-C-1A,1,0.7459,0.6592,0.6,0.2799,0.3085,0.3571,0.777777778,0.376327778
CNU-S-C-1A,2,0.5544,0.4554,0.4,0.3116,0.3567,0.4286,0.75,0.3045375
CNU-S-C-1A,3,0.7638,0.6616,0.6,0.3547,0.3536,0.3846,0.722222222,0.3666
CNU-S-C-1A,4,0.7741,0.6299,0.5,0.2197,0.1217,0.05,1,0.3758
CNU-S-C-1A,5,0.7121,0.6479,0.6,0.2481,0.2167,0.1905,0.722222222,0.312216667
CNU-S-C-1A,6,0.9491,0.6854,0.4,0.2688,0.2742,0.3,0.4,0.19192
CNU-S-C-1A,7,0.3309,0.447,0.5,0.0632,0.0555,0.0435,0,0
CNU-S-C-1A,8,0.3215,0.4431,0.5,0.0729,0.2888,0.5,0,0
CNU-S-C-1A,9,0.3188,0.2211,0.2,0.0632,0.0663,0.0769,0.333333333,0.0479
CNU-S-C-1A,10,0.5252,0.5151,0.5,0.1114,0.1789,0.25,0.5,0.1735
CNU-S-C-1A,11,0.8337,0.7656,0.75,0.2619,0.242,0.25,0.416666667,0.209916667
CNU-S-C-1A,12,0.2841,0.4209,0.5,0.2324,0.2036,0.2,0.714285714,0.223035714
CNU-S-C-1A,13,0.8847,0.9374,1,0.3633,0.6675,1,0.716666667,0.575089167
CNU-S-C-1A,14,0.8206,0.6542,0.5,0.3715,0.2103,0.08,0.75,0.3241875
CNU-S-C-1A,15,0.7387,0.8639,1,0.2997,0.282,0.2941,0.875,0.50133125
CNU-S-C-1A,16,0.5656,0.3788,0.2,0.0964,0.0749,0.0682,0.333333333,0.075616667
CNU-S-C-1A,17,0,0,0,0.0561,0.0491,0.05,0.333333333,0.016366667
CNU-S-C-1A,18,0,0,0,0,0,0,0,0
CNU-S-C-1A,19,0.7181,0.6015,0.5,0.3176,0.2341,0.1765,0.571428571,0.133771428
CNU-S-C-1A,20,0.8592,0.7309,0.6,0.2407,0.3094,0.4,0.6875,0.2127125
CNU-S-C-1A,21,0,0,0,0.1618,0.1722,0.2,0.111111111,0.019133333
CNU-S-C-1A,22,0.4408,0.438,0.5,0.2946,0.2478,0.2222,0.477777778,0.118393333
CNU-S-C-1A,23,0.2681,0.4116,0.5,0.1656,0.1644,0.1875,1,0.1644
CNU-S-C-1A,24,0,0,0,0.1456,0.1631,0.2,0.888888889,0.144977778
