runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005
CNU-S-C-4A,0001,0.5054,0.4504,0.4
CNU-S-C-4A,0002,0.7175,0.6462,0.6
CNU-S-C-4A,0003,0.9818,0.6756,0.4
CNU-S-C-4A,0004,0.0,0.7615,0.5
CNU-S-C-4A,0005,0.8517,0.6129,0.4
CNU-S-C-4A,0006,0.9237,0.7505,0.6
CNU-S-C-4A,0007,0.566,0.7853,1.0
CNU-S-C-4A,0008,0.2568,0.4043,0.5
CNU-S-C-4A,0009,0.3207,0.3579,0.4
CNU-S-C-4A,0010,0.3776,0.3358,0.25
CNU-S-C-4A,0011,0.9449,0.9757,1.0
CNU-S-C-4A,0012,0.0,0.0,1.0
CNU-S-C-4A,0013,0.8921,0.941,1.0
CNU-S-C-4A,0014,0.9789,0.6152,0.25
CNU-S-C-4A,0015,0.7864,0.7142,0.6667
CNU-S-C-4A,0016,0.9791,0.6895,0.4
CNU-S-C-4A,0017,0.294,0.2769,0.2
CNU-S-C-4A,0018,0.0,0.0,0.0
CNU-S-C-4A,0019,0.965,0.7327,0.5
CNU-S-C-4A,0020,0.9076,0.8536,0.8
CNU-S-C-4A,0021,0.0,0.0,0.0
CNU-S-C-4A,0022,0.6722,0.542,0.5
CNU-S-C-4A,0023,0.5939,0.5401,0.5
CNU-S-C-4A,0024,0.0,0.0,0.0
CNU-S-C-4A,0025,0.3218,0.2933,0.2
CNU-S-C-4A,0026,0.8846,0.8374,0.8
CNU-S-C-4A,0027,0.9415,0.7953,0.6667
CNU-S-C-4A,0028,0.9781,0.7399,0.5
CNU-S-C-4A,0029,0.0,0.0,0.0
CNU-S-C-4A,0030,0.9268,0.7915,0.6667
CNU-S-C-4A,0031,0.86,0.7621,0.6667
CNU-S-C-4A,0032,0.925,0.8311,0.75
CNU-S-C-4A,0033,0.0,0.0,0.0
FRDC-S-C-3A,0001,0.6945,0.7436,0.8
FRDC-S-C-3A,0002,0.5964,0.464,0.4
FRDC-S-C-3A,0003,0.5706,0.6883,0.8
FRDC-S-C-3A,0004,0.4646,0.4795,0.5
FRDC-S-C-3A,0005,0.7974,0.6968,0.6
FRDC-S-C-3A,0006,0.6159,0.5168,0.4
FRDC-S-C-3A,0007,0.865,0.934,1.0
FRDC-S-C-3A,0008,0.4804,0.7384,1.0
FRDC-S-C-3A,0009,0.6449,0.6501,0.6
FRDC-S-C-3A,0010,0.8073,0.7687,0.75
FRDC-S-C-3A,0011,0.5233,0.6543,0.75
FRDC-S-C-3A,0012,0.8648,0.9271,1.0
FRDC-S-C-3A,0013,0.609,0.8304,1.0
FRDC-S-C-3A,0014,0.5112,0.7701,1.0
FRDC-S-C-3A,0015,0.7874,0.8815,1.0
FRDC-S-C-3A,0016,0.9146,0.7621,0.6
FRDC-S-C-3A,0017,0.9674,0.6813,0.4
FRDC-S-C-3A,0018,0.7336,0.6927,0.6667
FRDC-S-C-3A,0019,0.7629,0.8784,1.0
FRDC-S-C-3A,0020,0.746,0.6774,0.6
FRDC-S-C-3A,0021,0.5209,0.5893,0.6667
