Runname,D#-nDCG@0050,I-Recall@0050,D-nDCG@0050
CNU-S-C-1A,0.204539393939,0.228387878788,0.196918181818
CNU-S-C-2A,0.193242424242,0.21263030303,0.188160606061
CNU-S-C-3A,0.16256969697,0.195293939394,0.147475757576
CNU-S-C-4A,0.190996969697,0.203996969697,0.194945454545
FRDC-S-C-1A,0.310975757576,0.326706060606,0.304927272727
FRDC-S-C-2A,0.238078787879,0.299781818182,0.181215151515
FRDC-S-C-3A,0.321372727273,0.348945454545,0.304084848485
FRDC-S-C-4A,0.271539393939,0.326233333333,0.2288
FRDC-S-C-5A,0.313939393939,0.352184848485,0.289963636364
KLE-S-C-1A,0.635972727273,0.626515151515,0.645206060606
KLE-S-C-2A,0.633936363636,0.621403030303,0.646281818182
KLE-S-C-3A,0.671754545455,0.709381818182,0.632875757576
KLE-S-C-4A,0.663957575758,0.696136363636,0.630660606061
THUSAM-S-C-1A,0.463351515152,0.414548484848,0.516451515152
THUSAM-S-C-2A,0.4633,0.437684848485,0.497290909091
THUSAM-S-C-3A,0.398124242424,0.389121212121,0.422575757576
THUSAM-S-C-4A,0.399345454545,0.389121212121,0.424912121212
THUSAM-S-C-5A,0.462636363636,0.450881818182,0.481690909091
TUTA1-S-C-1A,0.439051515152,0.490333333333,0.39426969697
