runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
CNU-S-C-4A,0001,0.1999,0.1942,0.2143
CNU-S-C-4A,0002,0.3151,0.3214,0.3571
CNU-S-C-4A,0003,0.3373,0.3446,0.3846
CNU-S-C-4A,0004,0.2488,0.1361,0.05
CNU-S-C-4A,0005,0.2425,0.2345,0.2381
CNU-S-C-4A,0006,0.2714,0.2979,0.35
CNU-S-C-4A,0007,0.0632,0.043,0.0435
CNU-S-C-4A,0008,0.0729,0.2888,0.5
CNU-S-C-4A,0009,0.058,0.0648,0.0769
CNU-S-C-4A,0010,0.2001,0.2111,0.25
CNU-S-C-4A,0011,0.3442,0.2803,0.25
CNU-S-C-4A,0012,0.2429,0.2086,0.2
CNU-S-C-4A,0013,0.3462,0.6587,1.0
CNU-S-C-4A,0014,0.3703,0.2098,0.08
CNU-S-C-4A,0015,0.3327,0.3289,0.3529
CNU-S-C-4A,0016,0.1172,0.0878,0.0682
CNU-S-C-4A,0017,0.0889,0.0732,0.05
CNU-S-C-4A,0018,0.0,0.0,0.0
CNU-S-C-4A,0019,0.3193,0.2349,0.1765
CNU-S-C-4A,0020,0.2292,0.2576,0.3
CNU-S-C-4A,0021,0.0,0.0,0.0
CNU-S-C-4A,0022,0.2812,0.2395,0.2222
CNU-S-C-4A,0023,0.1656,0.1644,0.1875
CNU-S-C-4A,0024,0.0,0.0,0.0
CNU-S-C-4A,0025,0.0506,0.0724,0.0909
CNU-S-C-4A,0026,0.2265,0.2358,0.25
CNU-S-C-4A,0027,0.3799,0.3746,0.4
CNU-S-C-4A,0028,0.3091,0.1982,0.1111
CNU-S-C-4A,0029,0.0378,0.0402,0.04
CNU-S-C-4A,0030,0.1024,0.0982,0.12
CNU-S-C-4A,0031,0.1859,0.1891,0.2143
CNU-S-C-4A,0032,0.2941,0.2143,0.1538
CNU-S-C-4A,0033,0.0,0.0,0.0
FRDC-S-C-3A,0001,0.3842,0.4708,0.5714
FRDC-S-C-3A,0002,0.2805,0.3614,0.4286
FRDC-S-C-3A,0003,0.4914,0.4252,0.3846
FRDC-S-C-3A,0004,0.1605,0.1412,0.125
FRDC-S-C-3A,0005,0.4903,0.3763,0.2857
FRDC-S-C-3A,0006,0.346,0.3373,0.35
FRDC-S-C-3A,0007,0.1708,0.2389,0.3043
FRDC-S-C-3A,0008,0.361,0.415,0.5
FRDC-S-C-3A,0009,0.2612,0.3221,0.3846
FRDC-S-C-3A,0010,0.2359,0.375,0.5
FRDC-S-C-3A,0011,0.2384,0.1709,0.125
FRDC-S-C-3A,0012,0.3217,0.3495,0.4
FRDC-S-C-3A,0013,0.6194,0.8014,1.0
FRDC-S-C-3A,0014,0.4138,0.3726,0.36
FRDC-S-C-3A,0015,0.5375,0.5539,0.5882
FRDC-S-C-3A,0016,0.1215,0.1672,0.2045
FRDC-S-C-3A,0017,0.1538,0.229,0.3
FRDC-S-C-3A,0018,0.1754,0.2172,0.25
FRDC-S-C-3A,0019,0.387,0.268,0.1765
