Runname,D#-nDCG@0005,I-Recall@0005,D-nDCG@0005
hultech-S-E-1A,0.654875,0.550525,0.766584375
hultech-S-E-2A,0.654875,0.550525,0.766584375
hultech-S-E-3A,0.654875,0.550525,0.766584375
hultech-S-E-4A,0.58966875,0.529690625,0.65861875
KLE-S-E-1A,0.624475,0.51979375,0.736603125
KLE-S-E-2A,0.63296875,0.53854375,0.733803125
KLE-S-E-3A,0.657525,0.60729375,0.708440625
KLE-S-E-4A,0.65209375,0.60729375,0.698428125
KUIDL-S-E-1A,0.597909375,0.638021875,0.5609875
Sem13-S-E-1A,0.276559375,0.328121875,0.23063125
Sem13-S-E-2A,0.2801625,0.33645625,0.2355125
Sem13-S-E-3A,0.244640625,0.302078125,0.193925
Sem13-S-E-4A,0.221184375,0.313540625,0.127465625
Sem13-S-E-5A,0.236721875,0.332290625,0.143109375
THUSAM-S-E-1A,0.530428125,0.6140625,0.448021875
THUSAM-S-E-2A,0.451428125,0.5989625,0.30615625
TUTA1-S-E-1A,0.291259375,0.356771875,0.212465625
udel-S-E-1A,0.19060625,0.29270625,0.088
UM13-S-E-1A,0.112575,0.181771875,0.044978125
UM13-S-E-2A,0.112575,0.181771875,0.044978125
UM13-S-E-3A,0.112575,0.181771875,0.044978125
