Runname,D#-nDCG@0050,I-Recall@0050,D-nDCG@0050
hultech-S-E-1A,0.5714,0.464578125,0.6763625
hultech-S-E-2A,0.396490625,0.464809375,0.344409375
hultech-S-E-3A,0.5714,0.464578125,0.6763625
hultech-S-E-4A,0.39770625,0.469103125,0.342625
KLE-S-E-1A,0.728909375,0.7151875,0.740478125
KLE-S-E-2A,0.733125,0.728409375,0.736134375
KLE-S-E-3A,0.73074375,0.718078125,0.74235
KLE-S-E-4A,0.728371875,0.71598125,0.7398
KUIDL-S-E-1A,0.605715625,0.6402,0.57740625
Sem13-S-E-1A,0.3605625,0.476928125,0.2415625
Sem13-S-E-2A,0.353865625,0.47285625,0.232925
Sem13-S-E-3A,0.325428125,0.4323625,0.21745
Sem13-S-E-4A,0.3002875,0.448315625,0.147271875
Sem13-S-E-5A,0.32553125,0.477078125,0.168440625
THUSAM-S-E-1A,0.482775,0.446875,0.521746875
THUSAM-S-E-2A,0.469184375,0.51583125,0.43164375
TUTA1-S-E-1A,0.36028125,0.43039375,0.30489375
udel-S-E-1A,0.40675625,0.406296875,0.40884375
UM13-S-E-1A,0.00610625,0.005815625,0.00720625
UM13-S-E-2A,0.00610625,0.005815625,0.00720625
UM13-S-E-3A,0.005003125,0.005815625,0.00443125
