runname,h-score,f-score,s-score,h-measure
KLE-S-E-1A,0.117929293,0.610539394,0.7298,0.09135169
KLE-S-E-2A,0.119393939,0.618775758,0.734175758,0.092144071
KLE-S-E-3A,0.127287157,0.6536,0.731654545,0.10004942
KLE-S-E-4A,0.124213564,0.648333333,0.729354545,0.095942813
KUIDL-S-E-1A,0.919044636,0.59780303,0.596433333,0.56269716
Sem13-S-E-1A,0.176156806,0.276624242,0.368921212,0.063365097
Sem13-S-E-2A,0.184437229,0.27719697,0.35660303,0.06103021
Sem13-S-E-3A,0.186031746,0.241857576,0.333315152,0.060573511
Sem13-S-E-4A,0.167150072,0.2184,0.303930303,0.050130083
Sem13-S-E-5A,0.158001443,0.233493939,0.328454545,0.047009786
THUSAM-S-E-1A,0.806495912,0.531166667,0.48349697,0.438038736
THUSAM-S-E-2A,0.263427128,0.435821212,0.473233333,0.120287441
TUTA1-S-E-1A,0.193250259,0.280633333,0.364736364,0.068766319
UM13-S-E-1A,0.205627706,0.116875758,0.005921212,0.001456162
UM13-S-E-2A,0.20641334,0.116875758,0.005921212,0.001602738
UM13-S-E-3A,0.17656726,0.116875758,0.004851515,0.001449433
hultech-S-E-1A,0.17030303,0.634433333,0.575372727,0.088798939
hultech-S-E-2A,0.35958634,0.634433333,0.397687879,0.147974018
hultech-S-E-3A,0.17030303,0.634433333,0.575372727,0.088798939
hultech-S-E-4A,0.305454545,0.573669697,0.398084848,0.132266034
udel-S-E-1A,0.320209235,0.184830303,0.41030303,0.128906327
