runname,id,nDCG@0010,D#nDCG@0010,I-rec@0010
Sem13-D-E-1A,0051,0.4676,0.4981,0.5
Sem13-D-E-1A,0052,0.4722,0.7183,1.0
Sem13-D-E-1A,0053,0.7844,0.888,1.0
Sem13-D-E-1A,0054,0.4093,0.709,1.0
Sem13-D-E-1A,0055,0.4668,0.5364,0.6
Sem13-D-E-1A,0056,0.6729,0.8396,1.0
Sem13-D-E-1A,0057,0.7081,0.7482,0.8
Sem13-D-E-1A,0058,0.6249,0.8231,1.0
Sem13-D-E-1A,0059,0.4051,0.3624,0.3333
Sem13-D-E-1A,0060,0.4118,0.5144,0.6
Sem13-D-E-1A,0061,0.7814,0.887,1.0
Sem13-D-E-1A,0062,0.8194,0.6601,0.5
Sem13-D-E-1A,0063,0.5812,0.769,1.0
Sem13-D-E-1A,0064,0.589,0.591,0.6
Sem13-D-E-1A,0065,0.2564,0.3901,0.5
Sem13-D-E-1A,0066,0.6313,0.6292,0.6
Sem13-D-E-1A,0067,0.1841,0.3502,0.5
Sem13-D-E-1A,0068,0.5711,0.7875,1.0
Sem13-D-E-1A,0069,0.5577,0.7632,1.0
Sem13-D-E-1A,0070,0.2787,0.4082,0.5
Sem13-D-E-1A,0071,0.6933,0.8496,1.0
Sem13-D-E-1A,0072,0.6381,0.6605,0.6667
Sem13-D-E-1A,0073,0.5827,0.7997,1.0
Sem13-D-E-1A,0074,0.494,0.7237,1.0
Sem13-D-E-1A,0075,0.5831,0.6265,0.6667
Sem13-D-E-1A,0076,0.5225,0.7516,1.0
Sem13-D-E-1A,0077,0.3372,0.54,0.75
Sem13-D-E-1A,0078,0.5489,0.7815,1.0
Sem13-D-E-1A,0079,0.5859,0.7997,1.0
Sem13-D-E-1A,0080,0.6457,0.8257,1.0
Sem13-D-E-1A,0081,0.6104,0.6636,0.6667
Sem13-D-E-1A,0082,0.494,0.7613,1.0
Sem13-D-E-1A,0083,0.7767,0.6268,0.5
Sem13-D-E-3A,0051,0.0339,0.2683,0.5
Sem13-D-E-3A,0052,0.3436,0.6772,1.0
Sem13-D-E-3A,0053,0.5568,0.6395,0.75
Sem13-D-E-3A,0054,0.2449,0.271,0.3333
Sem13-D-E-3A,0055,0.4101,0.5049,0.6
Sem13-D-E-3A,0056,0.5535,0.5256,0.5
Sem13-D-E-3A,0057,0.4208,0.3991,0.4
Sem13-D-E-3A,0058,0.5811,0.7996,1.0
Sem13-D-E-3A,0059,0.3439,0.3291,0.3333
Sem13-D-E-3A,0060,0.4763,0.5554,0.6
Sem13-D-E-3A,0061,0.6119,0.6338,0.6667
Sem13-D-E-3A,0062,0.6202,0.5605,0.5
Sem13-D-E-3A,0063,0.5374,0.7455,1.0
Sem13-D-E-3A,0064,0.4225,0.4011,0.4
Sem13-D-E-3A,0065,0.1758,0.2254,0.25
Sem13-D-E-3A,0066,0.5268,0.5731,0.6
Sem13-D-E-3A,0067,0.0396,0.2713,0.5
Sem13-D-E-3A,0068,0.4555,0.4749,0.5
Sem13-D-E-3A,0069,0.3996,0.4579,0.5
Sem13-D-E-3A,0070,0.2745,0.4017,0.5
Sem13-D-E-3A,0071,0.51,0.6049,0.6667
Sem13-D-E-3A,0072,0.5526,0.6125,0.6667
Sem13-D-E-3A,0073,0.3318,0.5858,0.8
Sem13-D-E-3A,0074,0.1454,0.2465,0.3333
Sem13-D-E-3A,0075,0.3935,0.5242,0.6667
Sem13-D-E-3A,0076,0.3188,0.4817,0.6667
Sem13-D-E-3A,0077,0.38,0.5645,0.75
Sem13-D-E-3A,0078,0.5266,0.7767,1.0
Sem13-D-E-3A,0079,0.3274,0.6704,1.0
Sem13-D-E-3A,0080,0.3353,0.6777,1.0
Sem13-D-E-3A,0081,0.5719,0.6195,0.6667
Sem13-D-E-3A,0082,0.4223,0.7084,1.0
Sem13-D-E-3A,0083,0.7063,0.4633,0.25
Sem13-D-E-2A,0051,0.2787,0.3871,0.5
Sem13-D-E-2A,0052,0.3622,0.6613,1.0
Sem13-D-E-2A,0053,0.4793,0.6123,0.75
Sem13-D-E-2A,0054,0.1355,0.4073,0.6667
Sem13-D-E-2A,0055,0.3675,0.5822,0.8
Sem13-D-E-2A,0056,0.3781,0.4585,0.5
