runname,id,nDCG@0010,D#nDCG@0010,I-rec@0010
Sem13-D-E-1A,0051,0.2466,0.2543,0.25
Sem13-D-E-1A,0052,0.4546,0.5433,0.6667
Sem13-D-E-1A,0053,0.5071,0.6266,0.75
Sem13-D-E-1A,0054,0.2667,0.514,0.75
Sem13-D-E-1A,0055,0.3904,0.5294,0.6667
Sem13-D-E-1A,0056,0.7448,0.7371,0.7143
Sem13-D-E-1A,0057,0.398,0.4219,0.4545
Sem13-D-E-1A,0058,0.6213,0.8185,1.0
Sem13-D-E-1A,0059,0.2003,0.3179,0.4286
Sem13-D-E-1A,0060,0.4787,0.5512,0.6
Sem13-D-E-1A,0061,0.8042,0.791,0.8
Sem13-D-E-1A,0062,0.8517,0.7581,0.6667
Sem13-D-E-1A,0063,0.5746,0.7649,1.0
Sem13-D-E-1A,0064,0.6616,0.5999,0.5714
Sem13-D-E-1A,0065,0.2643,0.3955,0.5
Sem13-D-E-1A,0066,0.4184,0.3834,0.3333
Sem13-D-E-1A,0067,0.1895,0.4794,0.75
Sem13-D-E-1A,0068,0.7549,0.6734,0.6
Sem13-D-E-1A,0069,0.3831,0.6888,1.0
Sem13-D-E-1A,0070,0.2722,0.4874,0.6667
Sem13-D-E-1A,0071,0.6736,0.5892,0.5
Sem13-D-E-1A,0072,0.5645,0.4917,0.4
Sem13-D-E-1A,0073,0.4735,0.5718,0.6667
Sem13-D-E-1A,0074,0.4384,0.598,0.8
Sem13-D-E-1A,0075,0.573,0.4702,0.375
Sem13-D-E-1A,0076,0.5088,0.5808,0.6667
Sem13-D-E-1A,0077,0.3031,0.3346,0.375
Sem13-D-E-1A,0078,0.555,0.5355,0.5
Sem13-D-E-1A,0079,0.5652,0.6626,0.75
Sem13-D-E-1A,0080,0.7727,0.6963,0.6
Sem13-D-E-1A,0081,0.4754,0.5071,0.5
Sem13-D-E-1A,0082,0.5472,0.7251,0.8889
Sem13-D-E-1A,0083,0.6564,0.5285,0.4
Sem13-D-E-3A,0051,0.0279,0.0982,0.1667
Sem13-D-E-3A,0052,0.3284,0.3939,0.4444
Sem13-D-E-3A,0053,0.3431,0.4131,0.5
Sem13-D-E-3A,0054,0.1546,0.1922,0.25
Sem13-D-E-3A,0055,0.3323,0.4418,0.5556
Sem13-D-E-3A,0056,0.673,0.4748,0.2857
Sem13-D-E-3A,0057,0.2532,0.2541,0.2727
Sem13-D-E-3A,0058,0.5845,0.6988,0.8
Sem13-D-E-3A,0059,0.1523,0.22,0.2857
