TopicID	Topic	First_Level_Intent_ID	First_Level_Poss	Frist_Level_Content	First_Level_Subtopics (separated by commas)
101	シド	2	0.272727273	シド_シド・ヴィシャス	シド シド・ヴィシャス
101	シド	6	0.272727273	シド_バンド	シド 明希,シドのcd一覧,シドしんぢ,シド残り香,シド 音楽,シド マオ
101	シド	1	0.181818182	シド_黒執事	シド黒執事
101	シド	3	0.181818182	シド_FF	シド FF
101	シド	4	0.090909091	シド_トイストーリー	トイストーリーシド
102	ダム	5	0.333333333	ダム_貯水	ダム貯水率,ダム体積,ダム総貯水容量
102	ダム	2	0.222222222	ダム_徳山	ダム 徳山
102	ダム	3	0.222222222	ダム_宇連ダム	宇連ダム
102	ダム	7	0.222222222	ダム_所在地	ダム所在地
103	R	1	1	R_助け隊	助け隊r
104	ハヤブサ	1	0.333333333	ハヤブサ_時刻表	ハヤブサはやぶさ時刻表
104	ハヤブサ	2	0.222222222	ハヤブサ_バイク	ハヤブサ 激安,ハヤブサ GSX
104	ハヤブサ	3	0.222222222	ハヤブサ_鳥	ハヤブサ Falcon,ハヤブサ涙,河北潟でバードウォッチングハヤブサ
104	ハヤブサ	7	0.222222222	ハヤブサ_マスクマン	マスクマンハヤブサ
105	ナポレオン	1	0.428571429	ナポレオン_ヒル	ナポレオン ヒル
105	ナポレオン	2	0.285714286	ナポレオン_おのれナポレオン	おのれナポレオン
105	ナポレオン	3	0.285714286	ナポレオン_ポナパルト	ナポレオン文献,ナポレオン関係者,ナポレオン ボナパルト,ナポレオンが乗っていた馬
106	アバター	1	0.375	アバター_映画	アバタープロデューサー,アバター製作,アバター 上映,アバター監督
106	アバター	2	0.375	アバター_キャラ	アバター自作,アバターを配布,アバター 無料,アバター作り
106	アバター	3	0.125	アバター_橋本	アバター橋本
106	アバター	4	0.125	アバター_ゲーム	アバター アバターバトル,アバター ゲーム
107	ジップ	1	0.285714286	ジップ_ジップロック	ジップ 商品,ジップ ジップロック,ジップジップロック
107	ジップ	2	0.285714286	ジップ_アコーディオン	デニムアコーディオンジップ,レザーアコーディオンジップ
107	ジップ	3	0.285714286	ジップ_fm	ジップfm,ジップzip-fm
107	ジップ	4	0.142857143	ジップ_株式会社	ジップ 株式会社
108	ウォッカ	6	0.25	ウォッカ_競馬	ウォッカ競馬
108	ウォッカ	9	0.25	ウォッカ_カクテル	ウォッカ カクテル
108	ウォッカ	1	0.166666667	ウォッカ_Van	ウォッカ Van
108	ウォッカ	3	0.166666667	ウォッカ_ジン	ウォッカ ジン
108	ウォッカ	4	0.166666667	ウォッカ_ウォッカコリンズ	ウォッカコリンズ
109	横浜	4	0.3	横浜_そごう	横浜そごう
109	横浜	8	0.3	横浜_ららぽーと	ららぽーと横浜
109	横浜	1	0.2	横浜_fc	横浜fc
109	横浜	12	0.2	横浜_天気	横浜 天気
110	伝奇	1	0.272727273	伝奇_ボルヘス	ボルヘス伝奇
110	伝奇	2	0.181818182	伝奇_ベルセルク	番組剣風伝奇,伝奇 ベルセルク,伝奇サウンドトラック,伝奇三浦建太郎
110	伝奇	3	0.181818182	伝奇_伝奇匣	伝奇匣
110	伝奇	4	0.181818182	伝奇_少林寺伝奇	少林寺伝奇
110	伝奇	5	0.181818182	伝奇_アイテム	伝奇アイテム発売スケジュール
111	アドビ	10	0.333333333	アドビ_不正アクセス	アドビ不正アクセス
111	アドビ	1	0.222222222	アドビ_linux	アドビlinux対応
111	アドビ	3	0.222222222	アドビ_認定	アドビ認定試験,アドビ 認定,アドビ認定試験制度
111	アドビ	11	0.222222222	アドビ_iphone	アドビiphone向け
112	予言者	2	0.272727273	予言者_ジュセリーノ	予言者ジュセリーノとは何者
112	予言者	3	0.272727273	予言者_バラートクラーラ	予言者 バラートクラーラ,予言者 バラート・クラーラ
112	予言者	4	0.272727273	予言者_ジョンタイター	予言者ジョンタイター
112	予言者	1	0.181818182	予言者_ローラン	予言者 ローラン,予言者ローラン
113	オウル	1	0.5	オウル_英会話	オウル 英会話
113	オウル	5	0.333333333	オウル_空港	オウル空港
113	オウル	2	0.166666667	オウル_港	オウル港
114	赤とうがらし	4	0.3	赤とうがらし_エキス	赤とうがらしエキス
114	赤とうがらし	7	0.3	赤とうがらし_レシピ	赤とうがらし レシピ
114	赤とうがらし	3	0.2	赤とうがらし_キムチ	キムチ赤とうがらし
114	赤とうがらし	1	0.1	赤とうがらし_乾燥	赤とうがらしを乾燥
114	赤とうがらし	6	0.1	赤とうがらし_駒込	赤とうがらし駒込
115	銀シャリ	1	0.333333333	銀シャリ_コンビ	銀シャリコンビ,銀シャリ 視聴率,銀シャリ日記,ロケみつ銀シャリ,銀シャリ彼女,銀シャリ橋本直
115	銀シャリ	3	0.333333333	銀シャリ_ゲコ亭	銀シャリ ゲコ亭,銀シャリ屋ゲコ亭,銀シャリ屋げこ亭,銀シャリ 本舗
115	銀シャリ	4	0.333333333	銀シャリ_サトウ	銀シャリ サトウ
116	嵐	1	0.25	嵐_シングル	嵐ワンラブ,嵐ニューシングル
