runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005
KUIDL-S-J-1A,0101,0.2397,0.4185,0.6
KUIDL-S-J-1A,0102,0.023,0.1371,0.25
KUIDL-S-J-1A,0103,0.0,0.0,0.0
KUIDL-S-J-1A,0104,0.1308,0.3143,0.5
KUIDL-S-J-1A,0105,0.1425,0.3931,0.6667
KUIDL-S-J-1A,0106,0.1163,0.4409,0.75
KUIDL-S-J-1A,0107,0.1104,0.3127,0.5
KUIDL-S-J-1A,0108,0.1895,0.3949,0.6
KUIDL-S-J-1A,0109,0.0467,0.1472,0.25
KUIDL-S-J-1A,0110,0.0575,0.122,0.2
KUIDL-S-J-1A,0111,0.0258,0.1391,0.25
KUIDL-S-J-1A,0112,0.1368,0.3174,0.5
KUIDL-S-J-1A,0113,0.0868,0.2125,0.3333
KUIDL-S-J-1A,0114,0.0638,0.1297,0.2
KUIDL-S-J-1A,0115,0.1853,0.5939,1.0
KUIDL-S-J-1A,0116,0.0702,0.1426,0.2
KUIDL-S-J-1A,0117,0.1272,0.254,0.4
KUIDL-S-J-1A,0118,0.2405,0.431,0.6
KUIDL-S-J-1A,0119,0.2113,0.5036,0.8
KUIDL-S-J-1A,0120,0.1361,0.3262,0.5
KUIDL-S-J-1A,0121,0.1534,0.3147,0.5
KUIDL-S-J-1A,0122,0.1919,0.4839,0.8
KUIDL-S-J-1A,0123,0.0,0.0,0.0
KUIDL-S-J-1A,0124,0.1852,0.3906,0.6
KUIDL-S-J-1A,0125,0.0863,0.2426,0.4
KUIDL-S-J-1A,0126,0.1226,0.3672,0.6
KUIDL-S-J-1A,0127,0.1151,0.3035,0.5
KUIDL-S-J-1A,0128,0.1534,0.2769,0.4
KUIDL-S-J-1A,0129,0.1196,0.1705,0.25
KUIDL-S-J-1A,0130,0.089,0.1592,0.25
KUIDL-S-J-1A,0131,0.1094,0.2559,0.4
KUIDL-S-J-1A,0132,0.1775,0.3876,0.6
KUIDL-S-J-1A,0133,0.196,0.3499,0.5
KUIDL-S-J-1A,0134,0.0,0.0,0.0
KLE-S-J-2A,0101,0.5189,0.4491,0.4
