runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
KUIDL-S-J-1A,0101,0.196,0.2772,0.3333
KUIDL-S-J-1A,0102,0.1664,0.1802,0.1667
KUIDL-S-J-1A,0103,0.0,0.0,0.0
KUIDL-S-J-1A,0104,0.256,0.4066,0.5455
KUIDL-S-J-1A,0105,0.0403,0.0637,0.0833
KUIDL-S-J-1A,0106,0.1018,0.1608,0.2105
KUIDL-S-J-1A,0107,0.2372,0.3983,0.5385
KUIDL-S-J-1A,0108,0.2605,0.3524,0.4118
KUIDL-S-J-1A,0109,0.1743,0.3075,0.4286
KUIDL-S-J-1A,0110,0.2168,0.2248,0.2222
KUIDL-S-J-1A,0111,0.032,0.0738,0.1111
KUIDL-S-J-1A,0112,0.1863,0.2923,0.375
KUIDL-S-J-1A,0113,0.0633,0.205,0.3333
KUIDL-S-J-1A,0114,0.1014,0.2729,0.4286
KUIDL-S-J-1A,0115,0.4424,0.5562,0.6667
KUIDL-S-J-1A,0116,0.1597,0.2138,0.2632
KUIDL-S-J-1A,0117,0.1674,0.3106,0.4545
KUIDL-S-J-1A,0118,0.2745,0.3003,0.3125
KUIDL-S-J-1A,0119,0.4095,0.4659,0.52
KUIDL-S-J-1A,0120,0.3118,0.3775,0.45
KUIDL-S-J-1A,0121,0.4526,0.5204,0.5625
KUIDL-S-J-1A,0122,0.4514,0.5219,0.5769
KUIDL-S-J-1A,0123,0.1064,0.1237,0.1429
KUIDL-S-J-1A,0124,0.2236,0.3691,0.5
KUIDL-S-J-1A,0125,0.1509,0.2237,0.3043
KUIDL-S-J-1A,0126,0.2327,0.2728,0.3
KUIDL-S-J-1A,0127,0.1963,0.2589,0.3182
KUIDL-S-J-1A,0128,0.3263,0.365,0.3889
KUIDL-S-J-1A,0129,0.2159,0.2009,0.1667
KUIDL-S-J-1A,0130,0.1661,0.2787,0.375
KUIDL-S-J-1A,0131,0.2718,0.3177,0.35
KUIDL-S-J-1A,0132,0.2331,0.4109,0.5789
KUIDL-S-J-1A,0133,0.4781,0.3782,0.3077
KUIDL-S-J-1A,0134,0.0,0.0,0.0
KLE-S-J-2A,0101,0.1742,0.3911,0.5833
KLE-S-J-2A,0102,0.1429,0.4167,0.6667
KLE-S-J-2A,0103,0.5308,0.7718,1.0
KLE-S-J-2A,0104,0.4166,0.5799,0.7273
KLE-S-J-2A,0105,0.4724,0.5646,0.6667
KLE-S-J-2A,0106,0.3682,0.4783,0.5789
KLE-S-J-2A,0107,0.2043,0.3065,0.3846
KLE-S-J-2A,0108,0.1617,0.2964,0.4118
KLE-S-J-2A,0109,0.3176,0.3993,0.4286
KLE-S-J-2A,0110,0.3038,0.5546,0.7778
KLE-S-J-2A,0111,0.2748,0.5443,0.7778
KLE-S-J-2A,0112,0.2006,0.424,0.625
KLE-S-J-2A,0113,0.1261,0.4097,0.6667
KLE-S-J-2A,0114,0.1412,0.2948,0.4286
KLE-S-J-2A,0115,0.2068,0.3226,0.4167
KLE-S-J-2A,0116,0.4626,0.595,0.6842
KLE-S-J-2A,0117,0.2606,0.4082,0.5455
KLE-S-J-2A,0118,0.3939,0.5209,0.625
KLE-S-J-2A,0119,0.4324,0.531,0.6
KLE-S-J-2A,0120,0.4947,0.5673,0.65
KLE-S-J-2A,0121,0.2531,0.3537,0.4375
