		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
CNU-S-C-1A	1	0.7459	0.6592	0.6	CNU-S-C-1A	1	0.2799	0.3085	0.3571	CNU-S-C-1A	1	0.777777778
CNU-S-C-1A	2	0.5544	0.4554	0.4	CNU-S-C-1A	2	0.3116	0.3567	0.4286	CNU-S-C-1A	2	0.75
CNU-S-C-1A	3	0.7638	0.6616	0.6	CNU-S-C-1A	3	0.3547	0.3536	0.3846	CNU-S-C-1A	3	0.722222222
CNU-S-C-1A	4	0.7741	0.6299	0.5	CNU-S-C-1A	4	0.2197	0.1217	0.05	CNU-S-C-1A	4	1
CNU-S-C-1A	5	0.7121	0.6479	0.6	CNU-S-C-1A	5	0.2481	0.2167	0.1905	CNU-S-C-1A	5	0.722222222
CNU-S-C-1A	6	0.9491	0.6854	0.4	CNU-S-C-1A	6	0.2688	0.2742	0.3	CNU-S-C-1A	6	0.4
CNU-S-C-1A	7	0.3309	0.447	0.5	CNU-S-C-1A	7	0.0632	0.0555	0.0435	CNU-S-C-1A	7	0
CNU-S-C-1A	8	0.3215	0.4431	0.5	CNU-S-C-1A	8	0.0729	0.2888	0.5	CNU-S-C-1A	8	0
CNU-S-C-1A	9	0.3188	0.2211	0.2	CNU-S-C-1A	9	0.0632	0.0663	0.0769	CNU-S-C-1A	9	0.333333333
CNU-S-C-1A	10	0.5252	0.5151	0.5	CNU-S-C-1A	10	0.1114	0.1789	0.25	CNU-S-C-1A	10	0.5
CNU-S-C-1A	11	0.8337	0.7656	0.75	CNU-S-C-1A	11	0.2619	0.242	0.25	CNU-S-C-1A	11	0.416666667
CNU-S-C-1A	12	0.2841	0.4209	0.5	CNU-S-C-1A	12	0.2324	0.2036	0.2	CNU-S-C-1A	12	0.714285714
CNU-S-C-1A	13	0.8847	0.9374	1	CNU-S-C-1A	13	0.3633	0.6675	1	CNU-S-C-1A	13	0.716666667
CNU-S-C-1A	14	0.8206	0.6542	0.5	CNU-S-C-1A	14	0.3715	0.2103	0.08	CNU-S-C-1A	14	0.75
CNU-S-C-1A	15	0.7387	0.8639	1	CNU-S-C-1A	15	0.2997	0.282	0.2941	CNU-S-C-1A	15	0.875
CNU-S-C-1A	16	0.5656	0.3788	0.2	CNU-S-C-1A	16	0.0964	0.0749	0.0682	CNU-S-C-1A	16	0.333333333
CNU-S-C-1A	17	0	0	0	CNU-S-C-1A	17	0.0561	0.0491	0.05	CNU-S-C-1A	17	0.333333333
CNU-S-C-1A	18	0	0	0	CNU-S-C-1A	18	0	0	0	CNU-S-C-1A	18	0
CNU-S-C-1A	19	0.7181	0.6015	0.5	CNU-S-C-1A	19	0.3176	0.2341	0.1765	CNU-S-C-1A	19	0.571428571
CNU-S-C-1A	20	0.8592	0.7309	0.6	CNU-S-C-1A	20	0.2407	0.3094	0.4	CNU-S-C-1A	20	0.6875
CNU-S-C-1A	21	0	0	0	CNU-S-C-1A	21	0.1618	0.1722	0.2	CNU-S-C-1A	21	0.111111111
CNU-S-C-1A	22	0.4408	0.438	0.5	CNU-S-C-1A	22	0.2946	0.2478	0.2222	CNU-S-C-1A	22	0.477777778
CNU-S-C-1A	23	0.2681	0.4116	0.5	CNU-S-C-1A	23	0.1656	0.1644	0.1875	CNU-S-C-1A	23	1
CNU-S-C-1A	24	0	0	0	CNU-S-C-1A	24	0.1456	0.1631	0.2	CNU-S-C-1A	24	0.888888889
CNU-S-C-1A	25	0.3693	0.3217	0.2	CNU-S-C-1A	25	0.0506	0.0724	0.0909	CNU-S-C-1A	25	1
CNU-S-C-1A	26	0.5868	0.5181	0.4	CNU-S-C-1A	26	0.1451	0.2201	0.3	CNU-S-C-1A	26	0.541666667
CNU-S-C-1A	27	0.6339	0.6427	0.6667	CNU-S-C-1A	27	0.3798	0.3746	0.4	CNU-S-C-1A	27	0.333333333
CNU-S-C-1A	28	0.8913	0.6908	0.5	CNU-S-C-1A	28	0.3512	0.2328	0.1481	CNU-S-C-1A	28	1
CNU-S-C-1A	29	0	0	0	CNU-S-C-1A	29	0.071	0.0911	0.12	CNU-S-C-1A	29	0
CNU-S-C-1A	30	0.3201	0.358	0.3333	CNU-S-C-1A	30	0.0304	0.1152	0.2	CNU-S-C-1A	30	0.230769231
CNU-S-C-1A	31	0.73	0.5229	0.3333	CNU-S-C-1A	31	0.1808	0.1901	0.2143	CNU-S-C-1A	31	0.777777778
CNU-S-C-1A	32	0.2623	0.284	0.25	CNU-S-C-1A	32	0.2887	0.2122	0.1538	CNU-S-C-1A	32	0.7
CNU-S-C-1A	33	0	0	1	CNU-S-C-1A	33	0	0	0	CNU-S-C-1A	33	0
CNU-S-C-2A	1	0.5535	0.4669	0.4	CNU-S-C-2A	1	0.2847	0.3094	0.3571	CNU-S-C-2A	1	0.5625
CNU-S-C-2A	2	0.6293	0.5044	0.4	CNU-S-C-2A	2	0.2951	0.3509	0.4286	CNU-S-C-2A	2	0.722222222
CNU-S-C-2A	3	0.8939	0.7441	0.6	CNU-S-C-2A	3	0.355	0.3579	0.3846	CNU-S-C-2A	3	0.821428571
CNU-S-C-2A	4	0.7741	0.6299	0.5	CNU-S-C-2A	4	0.1929	0.1101	0.05	CNU-S-C-2A	4	1
CNU-S-C-2A	5	0.7195	0.6684	0.6	CNU-S-C-2A	5	0.2324	0.2117	0.1905	CNU-S-C-2A	5	0.875
CNU-S-C-2A	6	0.6843	0.5459	0.4	CNU-S-C-2A	6	0.248	0.2634	0.3	CNU-S-C-2A	6	0.444444444
