,,F-score,,,S-score,,,H-Score
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,
hultech-S-E-1A,51,1,0.75,0.5,0.4091,0.2535,0.0952,0.04
hultech-S-E-1A,52,1,0.8334,0.6667,0.3142,0.3423,0.3571,0.04
hultech-S-E-1A,53,0.9025,0.9607,1,0.685,0.5982,0.5,0.06
hultech-S-E-1A,54,0.822,0.6978,0.6,0.6305,0.5191,0.4118,0
hultech-S-E-1A,55,0.9538,0.873,0.8,0.8535,0.5915,0.3333,0
hultech-S-E-1A,56,0.4119,0.2524,0.2,0.1916,0.1688,0.15,0
hultech-S-E-1A,57,0.9703,0.6831,0.4,0.7358,0.5591,0.375,0.04
hultech-S-E-1A,58,1,0.7,0.4,0.8472,0.7424,0.6364,0.14
hultech-S-E-1A,59,0.7776,0.8054,0.8,0.6088,0.4799,0.3529,0.04
hultech-S-E-1A,60,0.9505,0.6737,0.4,0.9458,0.6741,0.4,0.22
hultech-S-E-1A,61,0.8477,0.6282,0.4,0.8238,0.6852,0.5455,0.2
hultech-S-E-1A,62,0.967,0.9825,1,0.9193,0.8919,0.8571,0
hultech-S-E-1A,63,0.8477,0.7927,0.75,0.8426,0.6694,0.5,0
hultech-S-E-1A,64,0.9352,0.7611,0.6,0.7703,0.7767,0.7778,0.02
hultech-S-E-1A,65,1,0.6,0.2,0.9335,0.5665,0.2,0.08
hultech-S-E-1A,66,0.6607,0.5011,0.4,0.6717,0.518,0.3684,0.1
hultech-S-E-1A,67,0,0,0,0,0,0,0.9
hultech-S-E-1A,68,1,0.8334,0.6667,0.955,0.8346,0.7143,0.08
hultech-S-E-1A,69,0.4383,0.5071,0.5,0.4959,0.4376,0.3636,0.32
hultech-S-E-1A,70,0,0,0,0.6631,0.8434,1,0.62
hultech-S-E-1A,71,0.8083,0.7373,0.6667,0.8623,0.658,0.4545,0.12
hultech-S-E-1A,72,0.2063,0.2645,0.3333,0.7356,0.6552,0.5556,0.14
hultech-S-E-1A,73,0.727,0.5327,0.4,0.756,0.6121,0.4667,0.12
hultech-S-E-1A,74,0,0,0,0.8417,0.5433,0.25,0.98
hultech-S-E-1A,75,0.9862,0.6963,0.4,0.932,0.6571,0.3846,0.12
hultech-S-E-1A,76,0.6245,0.4438,0.3333,0.38,0.3518,0.3333,0.3
hultech-S-E-1A,77,0.8181,0.8008,0.8,0.4822,0.4406,0.4,0.06
hultech-S-E-1A,78,0.7197,0.7251,0.6667,0.8874,0.8717,0.8571,0.1
hultech-S-E-1A,79,0.762,0.877,1,0.5165,0.4855,0.4667,0.1
hultech-S-E-1A,80,0.8943,0.9418,1,0.7556,0.7216,0.6923,0.12
hultech-S-E-1A,81,0.713,0.5385,0.4,0.5296,0.4581,0.375,0.12
hultech-S-E-1A,82,0.9963,0.997,1,0.668,0.6776,0.6923,0.28
hultech-S-E-1A,83,0.535,0.5459,0.6,0.6973,0.7025,0.7059,0.16
hultech-S-E-2A,51,1,0.75,0.5,0.1771,0.1553,0.1429,0.2
hultech-S-E-2A,52,1,0.8334,0.6667,0.1443,0.2523,0.3571,0.1
hultech-S-E-2A,53,0.9025,0.9607,1,0.3415,0.4678,0.6,0.433333333
hultech-S-E-2A,54,0.822,0.6978,0.6,0.3207,0.3556,0.4118,0
hultech-S-E-2A,55,0.9538,0.873,0.8,0.4273,0.3391,0.2778,0
hultech-S-E-2A,56,0.4119,0.2524,0.2,0.1379,0.1407,0.15,0
hultech-S-E-2A,57,0.9703,0.6831,0.4,0.362,0.3924,0.4375,0.25
hultech-S-E-2A,58,1,0.7,0.4,0.4659,0.5406,0.6364,0.59
hultech-S-E-2A,59,0.7776,0.8054,0.8,0.3406,0.3378,0.3529,0.066666667
hultech-S-E-2A,60,0.9505,0.6737,0.4,0.3834,0.3773,0.4,0.633333333
hultech-S-E-2A,61,0.8477,0.6282,0.4,0.4057,0.4651,0.5455,0.2
hultech-S-E-2A,62,0.967,0.9825,1,0.4495,0.6438,0.8571,0.02
hultech-S-E-2A,63,0.8477,0.7927,0.75,0.5268,0.5024,0.5,0
hultech-S-E-2A,64,0.9352,0.7611,0.6,0.4021,0.6379,0.8889,0
hultech-S-E-2A,65,1,0.6,0.2,0.4586,0.3156,0.2,0.2
hultech-S-E-2A,66,0.6607,0.5011,0.4,0.329,0.2844,0.2632,0.28
hultech-S-E-2A,67,0,0,0,0,0,0,0.9
hultech-S-E-2A,68,1,0.8334,0.6667,0.5068,0.5268,0.5714,0.52
hultech-S-E-2A,69,0.4383,0.5071,0.5,0.2755,0.3215,0.3636,0.46
hultech-S-E-2A,70,0,0,0,0.3702,0.6888,1,0.76
hultech-S-E-2A,71,0.8083,0.7373,0.6667,0.4267,0.4285,0.4545,0.233333333
hultech-S-E-2A,72,0.2063,0.2645,0.3333,0.3496,0.4518,0.5556,0.253333333
hultech-S-E-2A,73,0.727,0.5327,0.4,0.4024,0.4246,0.4667,0.62
hultech-S-E-2A,74,0,0,0,0.4,0.3103,0.25,0.933333333
hultech-S-E-2A,75,0.9862,0.6963,0.4,0.484,0.3826,0.3077,0.67
hultech-S-E-2A,76,0.6245,0.4438,0.3333,0.1968,0.2556,0.3333,0.59
hultech-S-E-2A,77,0.8181,0.8008,0.8,0.2669,0.3943,0.5333,0.428571429
hultech-S-E-2A,78,0.7197,0.7251,0.6667,0.4407,0.6362,0.8571,0.62
hultech-S-E-2A,79,0.762,0.877,1,0.2997,0.3392,0.4,0.311111111
hultech-S-E-2A,80,0.8943,0.9418,1,0.358,0.5121,0.6923,0.453333333
hultech-S-E-2A,81,0.713,0.5385,0.4,0.2495,0.3101,0.375,0.453333333
hultech-S-E-2A,82,0.9963,0.997,1,0.3219,0.4972,0.6923,0.666666667
hultech-S-E-2A,83,0.535,0.5459,0.6,0.3033,0.436,0.5882,0.02
hultech-S-E-3A,51,1,0.75,0.5,0.4091,0.2535,0.0952,0.04
hultech-S-E-3A,52,1,0.8334,0.6667,0.3142,0.3423,0.3571,0.04
hultech-S-E-3A,53,0.9025,0.9607,1,0.685,0.5982,0.5,0.06
hultech-S-E-3A,54,0.822,0.6978,0.6,0.6305,0.5191,0.4118,0
