runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
THUSAM-S-E-1A,0051,0.5886,0.5057,0.4286
THUSAM-S-E-1A,0052,0.2723,0.3577,0.4286
THUSAM-S-E-1A,0053,0.8635,0.7286,0.6
THUSAM-S-E-1A,0054,0.2759,0.3508,0.4118
THUSAM-S-E-1A,0055,0.7536,0.6219,0.5
THUSAM-S-E-1A,0056,0.1326,0.0949,0.05
THUSAM-S-E-1A,0057,0.4817,0.5505,0.625
THUSAM-S-E-1A,0058,0.713,0.5802,0.4545
THUSAM-S-E-1A,0059,0.5399,0.5562,0.5882
THUSAM-S-E-1A,0060,0.0,0.0,0.0
THUSAM-S-E-1A,0061,0.702,0.5721,0.4545
THUSAM-S-E-1A,0062,0.7802,0.6018,0.4286
THUSAM-S-E-1A,0063,0.9371,0.6198,0.3
THUSAM-S-E-1A,0064,0.8603,0.7043,0.5556
THUSAM-S-E-1A,0065,0.8039,0.5632,0.3333
THUSAM-S-E-1A,0066,0.6162,0.4988,0.3684
THUSAM-S-E-1A,0067,0.0,0.0,0.0
THUSAM-S-E-1A,0068,0.9365,0.8957,0.8571
THUSAM-S-E-1A,0069,0.0784,0.127,0.1818
THUSAM-S-E-1A,0070,0.3315,0.6503,1.0
THUSAM-S-E-1A,0071,0.4921,0.5169,0.5455
THUSAM-S-E-1A,0072,0.4137,0.5468,0.6667
THUSAM-S-E-1A,0073,0.6472,0.628,0.6
THUSAM-S-E-1A,0074,0.375,0.2977,0.25
THUSAM-S-E-1A,0075,0.5696,0.4396,0.3077
THUSAM-S-E-1A,0076,0.0,0.0,0.0
THUSAM-S-E-1A,0077,0.3679,0.4234,0.4667
THUSAM-S-E-1A,0078,0.7254,0.7148,0.7143
THUSAM-S-E-1A,0079,0.654,0.5543,0.4667
THUSAM-S-E-1A,0080,0.7782,0.6615,0.5385
THUSAM-S-E-1A,0081,0.6908,0.6238,0.5625
THUSAM-S-E-1A,0082,0.3148,0.4625,0.6154
THUSAM-S-E-1A,0083,0.6617,0.5066,0.3529
THUSAM-S-E-2A,0051,0.3612,0.4097,0.4762
THUSAM-S-E-2A,0052,0.4986,0.505,0.5
THUSAM-S-E-2A,0053,0.6296,0.6093,0.6
THUSAM-S-E-2A,0054,0.6553,0.6226,0.5882
THUSAM-S-E-2A,0055,0.3709,0.3671,0.3889
THUSAM-S-E-2A,0056,0.3037,0.2432,0.2
THUSAM-S-E-2A,0057,0.301,0.4244,0.5625
THUSAM-S-E-2A,0058,0.4066,0.3286,0.2727
THUSAM-S-E-2A,0059,0.4493,0.6057,0.7647
THUSAM-S-E-2A,0060,0.0609,0.1325,0.2
THUSAM-S-E-2A,0061,0.6226,0.6232,0.6364
THUSAM-S-E-2A,0062,0.7379,0.7926,0.8571
THUSAM-S-E-2A,0063,0.6437,0.5635,0.5
THUSAM-S-E-2A,0064,0.751,0.7642,0.7778
THUSAM-S-E-2A,0065,0.2917,0.4478,0.6
THUSAM-S-E-2A,0066,0.6488,0.5033,0.3684
THUSAM-S-E-2A,0067,0.0,0.0,0.0
THUSAM-S-E-2A,0068,0.5058,0.6704,0.8571
THUSAM-S-E-2A,0069,0.0784,0.127,0.1818
THUSAM-S-E-2A,0070,0.3315,0.6503,1.0
THUSAM-S-E-2A,0071,0.6047,0.7081,0.8182
THUSAM-S-E-2A,0072,0.7368,0.8097,0.8889
THUSAM-S-E-2A,0073,0.4903,0.5065,0.5333
THUSAM-S-E-2A,0074,0.375,0.2977,0.25
THUSAM-S-E-2A,0075,0.489,0.6346,0.7692
THUSAM-S-E-2A,0076,0.0,0.0,0.0
THUSAM-S-E-2A,0077,0.0897,0.1765,0.2667
THUSAM-S-E-2A,0078,0.6334,0.7365,0.8571
THUSAM-S-E-2A,0079,0.5522,0.3804,0.2
THUSAM-S-E-2A,0080,0.3915,0.4586,0.5385
THUSAM-S-E-2A,0081,0.2141,0.3191,0.4375
THUSAM-S-E-2A,0082,0.5874,0.5958,0.6154
