runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005
THUSAM-S-E-1A,0051,0.571,0.7687,1.0
THUSAM-S-E-1A,0052,0.482,0.7462,1.0
THUSAM-S-E-1A,0053,0.4349,0.7206,1.0
THUSAM-S-E-1A,0054,0.3083,0.3502,0.4
THUSAM-S-E-1A,0055,0.3858,0.4931,0.6
THUSAM-S-E-1A,0056,0.2636,0.3392,0.4
THUSAM-S-E-1A,0057,0.4414,0.3173,0.2
THUSAM-S-E-1A,0058,0.3968,0.4895,0.6
THUSAM-S-E-1A,0059,0.2949,0.3249,0.4
THUSAM-S-E-1A,0060,0.286,0.5474,0.8
THUSAM-S-E-1A,0061,0.4859,0.4479,0.4
THUSAM-S-E-1A,0062,0.5351,0.4504,0.3333
THUSAM-S-E-1A,0063,0.4214,0.58,0.75
THUSAM-S-E-1A,0064,0.474,0.6529,0.8
THUSAM-S-E-1A,0065,0.7612,0.4755,0.2
THUSAM-S-E-1A,0066,0.3716,0.5821,0.8
THUSAM-S-E-1A,0067,0.61,0.4701,0.3333
THUSAM-S-E-1A,0068,0.4114,0.5467,0.6667
THUSAM-S-E-1A,0069,0.4271,0.7113,1.0
THUSAM-S-E-1A,0070,0.6086,0.5625,0.5
THUSAM-S-E-1A,0071,0.3296,0.6628,1.0
THUSAM-S-E-1A,0072,0.2479,0.4688,0.6667
THUSAM-S-E-1A,0073,0.3282,0.366,0.4
THUSAM-S-E-1A,0074,0.4066,0.3241,0.2
THUSAM-S-E-1A,0075,0.401,0.3919,0.4
THUSAM-S-E-1A,0076,0.5112,0.5732,0.6667
THUSAM-S-E-1A,0077,0.5452,0.3562,0.2
THUSAM-S-E-1A,0078,0.5514,0.446,0.3333
THUSAM-S-E-1A,0079,0.3431,0.6707,1.0
THUSAM-S-E-1A,0080,0.4202,0.7191,1.0
THUSAM-S-E-1A,0081,0.5947,0.5874,0.6
THUSAM-S-E-1A,0082,0.6866,0.831,1.0
THUSAM-S-E-2A,0051,0.2816,0.6411,1.0
THUSAM-S-E-2A,0052,0.3956,0.5343,0.6667
THUSAM-S-E-2A,0053,0.1862,0.4607,0.75
THUSAM-S-E-2A,0054,0.2945,0.5449,0.8
THUSAM-S-E-2A,0055,0.2824,0.4365,0.6
THUSAM-S-E-2A,0056,0.1844,0.2827,0.4
THUSAM-S-E-2A,0057,0.3025,0.3505,0.4
THUSAM-S-E-2A,0058,0.2055,0.1944,0.2
THUSAM-S-E-2A,0059,0.2717,0.221,0.2
THUSAM-S-E-2A,0060,0.2876,0.4446,0.6
THUSAM-S-E-2A,0061,0.2124,0.509,0.8
THUSAM-S-E-2A,0062,0.2835,0.6424,1.0
THUSAM-S-E-2A,0063,0.2557,0.503,0.75
THUSAM-S-E-2A,0064,0.2824,0.3418,0.4
THUSAM-S-E-2A,0065,0.1467,0.3793,0.6
THUSAM-S-E-2A,0066,0.3859,0.4911,0.6
THUSAM-S-E-2A,0067,0.61,0.4701,0.3333
THUSAM-S-E-2A,0068,0.2048,0.4274,0.6667
THUSAM-S-E-2A,0069,0.4271,0.7113,1.0
THUSAM-S-E-2A,0070,0.6086,0.5625,0.5
THUSAM-S-E-2A,0071,0.2733,0.4685,0.6667
THUSAM-S-E-2A,0072,0.256,0.6271,1.0
THUSAM-S-E-2A,0073,0.1712,0.18,0.2
THUSAM-S-E-2A,0074,0.4066,0.3241,0.2
THUSAM-S-E-2A,0075,0.1437,0.3625,0.6
THUSAM-S-E-2A,0076,0.5112,0.5732,0.6667
THUSAM-S-E-2A,0077,0.1888,0.1832,0.2
THUSAM-S-E-2A,0078,0.4919,0.5842,0.6667
THUSAM-S-E-2A,0079,0.2758,0.3882,0.5
THUSAM-S-E-2A,0080,0.3492,0.6739,1.0
THUSAM-S-E-2A,0081,0.0354,0.1181,0.2
THUSAM-S-E-2A,0082,0.5848,0.8141,1.0
UM13-S-E-2A,0051,0.1033,0.5507,1.0
UM13-S-E-2A,0052,0.0,0.0,0.0
UM13-S-E-2A,0053,0.0979,0.4246,0.75
UM13-S-E-2A,0054,0.0,0.0,0.0
UM13-S-E-2A,0055,0.0,0.0,0.0
UM13-S-E-2A,0056,0.0745,0.1356,0.2
UM13-S-E-2A,0057,0.0784,0.2408,0.4
UM13-S-E-2A,0058,0.074,0.2372,0.4
UM13-S-E-2A,0059,0.0,0.0,0.0
UM13-S-E-2A,0060,0.2236,0.2939,0.4
UM13-S-E-2A,0061,0.0637,0.2324,0.4
UM13-S-E-2A,0062,0.0,0.0,0.0
UM13-S-E-2A,0063,0.0,0.0,0.0
UM13-S-E-2A,0064,0.0,0.0,0.0
UM13-S-E-2A,0065,0.0548,0.2263,0.4
UM13-S-E-2A,0066,0.2691,0.2572,0.2
UM13-S-E-2A,0067,0.0,0.0,0.0
UM13-S-E-2A,0068,0.0809,0.3732,0.6667
UM13-S-E-2A,0069,0.0,0.0,0.0
UM13-S-E-2A,0070,0.0,0.0,0.0
UM13-S-E-2A,0071,0.0,0.0,0.0
UM13-S-E-2A,0072,0.0,0.0,0.0
UM13-S-E-2A,0073,0.0,0.0,0.0
UM13-S-E-2A,0074,0.0,0.0,0.0
UM13-S-E-2A,0075,0.0,0.0,0.0
UM13-S-E-2A,0076,0.0,0.0,0.0
UM13-S-E-2A,0077,0.0,0.0,0.0
UM13-S-E-2A,0078,0.0,0.0,0.0
UM13-S-E-2A,0079,0.0,0.0,0.0
UM13-S-E-2A,0080,0.0,0.0,0.0
UM13-S-E-2A,0081,0.0,0.0,0.0
UM13-S-E-2A,0082,0.3191,0.6305,1.0
hultech-S-E-1A,0051,1.0,0.75,0.5
hultech-S-E-1A,0052,1.0,0.8334,0.6667
hultech-S-E-1A,0053,0.9025,0.9607,1.0
hultech-S-E-1A,0054,0.822,0.6978,0.6
hultech-S-E-1A,0055,0.9538,0.873,0.8
hultech-S-E-1A,0056,0.4119,0.2524,0.2
hultech-S-E-1A,0057,0.9703,0.6831,0.4
hultech-S-E-1A,0058,1.0,0.7,0.4
hultech-S-E-1A,0059,0.7776,0.8054,0.8
hultech-S-E-1A,0060,0.9505,0.6737,0.4
hultech-S-E-1A,0061,0.8477,0.6282,0.4
hultech-S-E-1A,0062,0.967,0.9825,1.0
hultech-S-E-1A,0063,0.8477,0.7927,0.75
hultech-S-E-1A,0064,0.9352,0.7611,0.6
hultech-S-E-1A,0065,1.0,0.6,0.2
hultech-S-E-1A,0066,0.6607,0.5011,0.4
hultech-S-E-1A,0067,0.0,0.0,0.0
hultech-S-E-1A,0068,1.0,0.8334,0.6667
hultech-S-E-1A,0069,0.4383,0.5071,0.5
hultech-S-E-1A,0070,0.0,0.0,0.0
hultech-S-E-1A,0071,0.8083,0.7373,0.6667
hultech-S-E-1A,0072,0.9961,0.8301,0.6667
hultech-S-E-1A,0073,0.727,0.5327,0.4
hultech-S-E-1A,0074,0.0,0.0,0.0
hultech-S-E-1A,0075,0.9862,0.6963,0.4
hultech-S-E-1A,0076,0.6245,0.4438,0.3333
hultech-S-E-1A,0077,0.8181,0.8008,0.8
hultech-S-E-1A,0078,0.7197,0.7251,0.6667
hultech-S-E-1A,0079,0.762,0.877,1.0
hultech-S-E-1A,0080,0.8943,0.9418,1.0
hultech-S-E-1A,0081,0.713,0.5385,0.4
hultech-S-E-1A,0082,0.9963,0.997,1.0
UM13-S-E-3A,0051,0.1033,0.5507,1.0
UM13-S-E-3A,0052,0.0,0.0,0.0
UM13-S-E-3A,0053,0.0979,0.4246,0.75
UM13-S-E-3A,0054,0.0,0.0,0.0
UM13-S-E-3A,0055,0.0,0.0,0.0
UM13-S-E-3A,0056,0.0745,0.1356,0.2
UM13-S-E-3A,0057,0.0784,0.2408,0.4
UM13-S-E-3A,0058,0.074,0.2372,0.4
UM13-S-E-3A,0059,0.0,0.0,0.0
UM13-S-E-3A,0060,0.2236,0.2939,0.4
UM13-S-E-3A,0061,0.0637,0.2324,0.4
UM13-S-E-3A,0062,0.0,0.0,0.0
UM13-S-E-3A,0063,0.0,0.0,0.0
UM13-S-E-3A,0064,0.0,0.0,0.0
UM13-S-E-3A,0065,0.0548,0.2263,0.4
UM13-S-E-3A,0066,0.2691,0.2572,0.2
UM13-S-E-3A,0067,0.0,0.0,0.0
UM13-S-E-3A,0068,0.0809,0.3732,0.6667
UM13-S-E-3A,0069,0.0,0.0,0.0
UM13-S-E-3A,0070,0.0,0.0,0.0
UM13-S-E-3A,0071,0.0,0.0,0.0
UM13-S-E-3A,0072,0.0,0.0,0.0
UM13-S-E-3A,0073,0.0,0.0,0.0
UM13-S-E-3A,0074,0.0,0.0,0.0
UM13-S-E-3A,0075,0.0,0.0,0.0
UM13-S-E-3A,0076,0.0,0.0,0.0
