runname,h-score,f-score,s-score,h-measure
CNU-S-C-1A,0.535305897788,0.58665625,0.204539393939,0.173939443013
CNU-S-C-2A,0.578860028818,0.5568625,0.193242424242,0.174784620895
CNU-S-C-3A,0.508621509212,0.47076875,0.16256969697,0.118909625377
CNU-S-C-4A,0.461111111121,0.60725,0.190996969697,0.14074140909
FRDC-S-C-1A,0.293059163,0.71910625,0.310975757576,0.132688236979
FRDC-S-C-2A,0.325673400727,0.5045375,0.238078787879,0.103239325306
FRDC-S-C-3A,0.289725829697,0.71910625,0.321372727273,0.132625076093
FRDC-S-C-4A,0.543644179909,0.47819375,0.271539393939,0.172430992645
FRDC-S-C-5A,0.537692400212,0.50035625,0.313939393939,0.1756637271
KLE-S-C-1A,0.530594035545,0.566625,0.635972727273,0.330311747931
KLE-S-C-2A,0.541281866212,0.5735625,0.633936363636,0.33603874647
KLE-S-C-3A,0.507174122182,0.48169375,0.671754545455,0.325466439278
KLE-S-C-4A,0.514814814818,0.4986125,0.663957575758,0.327934543051
THUSAM-S-C-1A,0.552680976394,0.55370625,0.463351515152,0.277262176023
THUSAM-S-C-2A,0.434678531303,0.4498125,0.4633,0.220355466248
THUSAM-S-C-3A,0.328362193394,0.37440625,0.398124242424,0.139975788493
THUSAM-S-C-4A,0.328362193394,0.37440625,0.399345454545,0.140357417281
THUSAM-S-C-5A,0.428705507394,0.5040125,0.462636363636,0.22235063502
TUTA1-S-C-1A,0.241871521152,0.32423125,0.439051515152,0.112634169431
